Model,MAE,MSE,RMSE,R²,Adjusted R²
Linear Regression,50413.433308100386,4802173538.604158,69297.71669113029,0.6488402154431994,0.6478058714533413
Random Forest,31641.570482232684,2375466293.684097,48738.755561504615,0.8262936095069743,0.8257819559267296
Neural Network,43290.97856867048,3882304308.667099,62308.13998722076,0.716105814657471,0.7152696020349598
XGBoost,30660.609574278962,2204422834.3782315,46951.28149878586,0.8388011925497054,0.8383263801566265
